,location_id,ihme_loc_id,location_name,Adol Birth Rate,Air Poll Mort,Alcohol Use,Cert Death Reg,Child Overweight,Child Sex Abuse,Child Stunting,Child Wasting,Conflict Mort,Disaster Mort,"FP Need Met, Mod",HH Air Poll,HIV Incid,Health Worker Dens,Hep B Incid,Homicide,Hygiene,Int Partner Viol,Malaria Incid,Mat Mort Ratio,Mean PM2.5,NCD Mort,NTD Prev,Neonatal Mort,Non-Int Partner Sex Viol,Occ Burden,Physical Violence,Poisoning Mort,Road Inj Mort,SDG Index,Sanitation,Sexual Violence,Skilled Birth Attend,Smoking Prev,Suicide Mort,TB Incid,UHC Index,Under-5 Mort,Vaccine Cov,WaSH Mort,Water,cluster
75,113,GUY,Guyana,24.3,39.8,57.8,82.7,69.5,60.2,79.2,68.3,100.0,100.0,56.1,88.1,27.9,73.4,74.2,19.6,43.3,80.5,11.8,31.7,55.5,28.4,81.4,30.0,47.0,84.5,97.5,57.6,45.8,54.3,73.2,72.8,91.7,70.2,6.7,50.9,49.1,46.2,95.8,37.7,28.4,3
76,114,HTI,Haiti,32.6,18.5,61.9,60.8,91.9,59.3,61.0,79.7,100.0,37.6,41.5,31.6,30.5,52.1,76.5,17.5,20.2,58.5,20.2,12.2,69.7,20.8,70.8,18.4,0.0,71.1,84.6,41.5,10.1,33.5,17.6,35.5,26.4,94.3,54.7,45.7,28.3,25.5,45.8,20.9,13.8,6
77,115,JAM,Jamaica,37.9,52.8,57.6,90.5,64.5,6.8,89.7,91.4,100.0,100.0,91.9,90.8,36.0,85.7,98.1,6.2,56.0,88.4,100.0,42.1,71.5,48.5,95.0,42.0,27.1,78.8,97.5,74.7,65.5,65.5,63.5,76.7,98.7,63.4,91.4,76.6,63.9,59.0,77.4,58.3,52.9,3
78,385,PRI,Puerto Rico,45.7,83.6,40.6,93.1,1.8,60.1,92.4,94.7,100.0,0.0,95.8,99.9,62.8,95.8,77.8,13.2,82.6,96.8,100.0,64.9,88.8,83.8,99.5,60.5,1.5,100.0,100.0,85.1,62.4,54.4,98.4,77.2,99.3,78.7,68.9,100.0,80.6,67.8,77.6,63.1,64.0,3
79,116,LCA,Saint Lucia,35.9,53.6,46.4,89.0,81.7,60.3,95.7,90.0,100.0,100.0,70.2,93.6,64.5,86.1,83.5,18.8,82.9,83.7,100.0,39.7,53.1,54.8,93.7,43.5,42.4,88.6,97.6,78.1,53.6,66.6,79.5,65.7,98.9,69.1,63.6,78.7,60.8,60.2,57.8,56.4,53.7,3
80,117,VCT,Saint Vincent and the Grenadines,27.5,47.1,56.4,88.3,68.5,60.6,85.0,89.3,100.0,100.0,89.6,89.3,47.1,79.1,88.2,15.2,66.7,80.9,100.0,36.0,53.9,42.4,93.4,41.6,45.5,99.1,97.7,79.7,64.7,65.4,71.6,73.2,98.8,75.1,61.7,71.6,54.1,55.9,65.8,48.3,44.9,3
81,118,SUR,Suriname,28.7,47.7,41.7,78.6,82.5,59.9,87.4,79.5,100.0,100.0,68.5,87.6,38.0,78.5,76.5,34.6,65.9,84.3,43.9,34.0,50.9,47.0,93.2,27.1,43.5,97.3,97.6,61.5,43.7,56.9,82.5,68.7,95.9,49.4,8.8,72.8,51.5,42.8,57.8,40.8,48.7,3
82,119,TTO,Trinidad and Tobago,39.3,45.5,68.9,92.7,56.2,59.9,95.0,84.8,100.0,100.0,63.1,99.3,40.4,69.6,87.2,13.7,76.5,84.8,100.0,48.0,51.8,46.9,95.0,42.2,39.1,100.0,97.7,86.0,50.9,65.3,85.7,78.8,99.1,61.8,47.4,78.4,58.9,55.8,48.2,57.8,60.1,3
83,422,VIR,"Virgin Islands, U.S.",30.9,65.3,72.9,79.9,17.7,59.2,92.6,94.5,100.0,0.0,96.0,98.7,48.2,98.3,83.6,8.4,80.5,95.8,100.0,49.1,82.0,43.1,99.9,59.1,23.2,67.0,100.0,65.2,58.8,55.8,94.7,73.4,98.9,95.8,67.6,79.1,67.3,71.4,55.7,65.5,61.6,3
84,125,COL,Colombia,25.9,75.5,49.4,95.3,78.2,65.7,80.4,98.8,100.0,21.1,95.2,91.0,47.3,73.9,63.9,6.8,83.3,61.5,30.5,49.8,66.4,91.1,84.2,51.4,81.0,90.9,35.9,88.0,50.0,65.8,93.0,84.1,96.5,75.4,73.2,71.3,70.2,59.5,89.3,62.4,77.6,3
85,126,CRI,Costa Rica,30.5,76.5,54.4,97.1,47.0,15.1,88.1,96.1,100.0,30.1,94.7,91.9,58.4,73.1,75.1,32.7,77.8,73.0,100.0,61.4,65.4,82.4,86.3,60.6,0.0,85.6,68.3,74.9,46.3,62.7,98.6,83.5,99.2,75.2,58.3,87.9,73.1,72.8,86.9,64.2,92.7,3
86,127,SLV,El Salvador,26.2,49.7,62.6,76.2,71.1,68.7,78.2,95.2,100.0,100.0,88.7,80.7,45.9,62.8,69.1,0.0,77.3,83.9,71.2,54.5,49.7,71.3,88.7,59.7,58.5,99.7,77.9,79.6,35.0,65.9,60.2,91.1,99.2,91.4,48.8,66.1,63.1,62.7,94.9,45.3,72.8,3
87,128,GTM,Guatemala,21.2,36.7,67.6,84.1,68.0,74.3,17.5,97.9,100.0,51.7,74.3,61.8,53.0,60.5,56.3,1.6,68.6,83.9,36.1,33.7,50.0,70.9,81.8,45.5,82.8,58.0,85.5,27.0,42.6,55.7,60.1,89.9,95.0,84.0,70.2,70.0,50.5,46.5,76.6,27.6,50.3,3
88,129,HND,Honduras,17.2,47.1,73.1,41.4,75.4,64.3,63.6,96.6,100.0,48.5,84.4,59.5,63.7,29.4,64.0,0.1,83.0,81.7,35.6,33.7,56.0,62.2,74.8,50.9,71.4,60.2,76.4,36.1,44.7,54.5,64.3,81.7,95.2,75.5,83.4,59.4,51.8,58.9,79.9,33.7,72.9,3
89,130,MEX,Mexico,23.3,52.7,57.6,93.9,49.2,71.5,79.1,93.7,100.0,29.7,81.7,86.7,49.6,78.2,64.6,3.5,86.0,97.2,65.5,52.2,54.5,73.4,83.3,54.0,74.7,70.7,71.5,54.6,45.5,64.2,88.1,70.8,98.0,64.5,70.1,76.0,63.6,57.1,84.0,55.6,92.4,3
90,131,NIC,Nicaragua,18.9,59.6,67.1,95.0,65.5,78.9,75.2,93.6,100.0,39.5,95.7,65.0,40.6,49.2,81.0,38.9,74.8,85.3,31.8,48.4,62.4,88.2,85.5,47.1,68.2,78.9,82.6,66.6,59.4,65.2,54.6,86.2,95.3,78.7,70.7,62.0,64.7,57.9,100.0,52.6,65.3,3
91,132,PAN,Panama,20.5,74.6,51.3,92.1,61.3,65.7,74.0,97.6,100.0,74.2,80.0,88.8,34.6,77.7,82.3,20.4,80.8,85.0,42.7,42.5,77.9,88.3,90.2,50.5,62.1,94.3,71.6,68.0,53.5,70.3,76.2,79.2,93.1,92.7,77.6,59.6,68.7,54.9,85.0,50.3,80.3,3
92,133,VEN,Venezuela,15.6,60.6,47.8,95.3,52.6,65.6,78.2,74.2,100.0,100.0,85.8,99.5,43.1,63.6,76.4,0.0,85.1,82.4,17.4,43.5,64.9,63.5,59.8,44.9,63.2,51.3,71.6,68.1,33.9,60.8,90.5,76.1,97.5,65.6,53.9,70.1,64.3,57.3,58.8,52.4,83.2,3
93,135,BRA,Brazil,31.7,64.9,45.9,89.3,28.3,76.9,85.8,97.0,100.0,89.0,97.2,92.7,38.1,89.8,52.6,7.2,82.8,87.8,35.2,43.7,72.8,63.1,89.7,47.8,88.2,55.4,85.2,87.3,36.6,67.6,75.0,79.6,99.0,86.1,68.9,62.1,62.9,53.4,93.9,52.5,88.9,3
94,136,PRY,Paraguay,26.1,52.8,43.8,81.3,51.0,90.9,92.3,97.9,100.0,100.0,86.9,71.2,43.9,65.3,60.5,27.3,73.4,88.4,100.0,42.0,76.6,63.2,91.6,61.0,78.4,49.1,85.3,79.5,33.5,66.1,82.0,81.7,91.7,71.3,71.7,55.4,62.3,59.9,95.7,52.6,78.6,3
95,160,AFG,Afghanistan,14.8,5.7,96.6,0.0,96.6,68.2,14.2,74.6,13.1,27.6,38.0,31.8,77.7,31.3,26.7,27.3,41.1,0.0,18.4,13.7,19.5,1.3,65.4,20.5,93.0,18.3,0.0,30.7,18.9,20.6,21.1,88.3,49.7,82.5,51.6,34.7,26.5,27.7,46.4,31.2,4.3,5
96,139,DZA,Algeria,77.8,53.2,94.5,62.8,35.5,67.9,78.7,78.7,37.3,100.0,79.6,99.8,79.7,79.8,48.4,85.7,85.2,62.1,84.6,44.5,35.5,73.6,96.4,34.4,87.3,74.1,36.8,43.9,43.0,67.4,91.5,87.2,96.2,59.0,85.7,61.3,66.4,48.2,82.6,67.9,86.1,0
97,140,BHR,Bahrain,65.7,39.5,90.4,61.3,49.1,68.4,91.3,90.2,30.1,100.0,69.6,99.8,79.6,96.4,42.5,79.1,87.0,61.1,100.0,69.5,9.6,80.7,97.0,76.0,87.1,60.1,39.8,92.7,63.7,69.7,93.2,85.7,98.6,81.7,84.7,70.8,80.3,75.2,100.0,65.1,84.6,0
98,141,EGY,Egypt,27.3,22.5,96.5,53.4,24.9,68.0,68.4,72.3,25.7,100.0,91.6,99.6,88.8,78.2,0.2,95.1,88.6,67.4,100.0,45.6,7.5,26.9,91.1,52.0,88.9,71.0,46.8,77.1,20.6,53.0,74.2,94.2,93.1,55.9,73.9,73.3,55.5,52.3,69.4,46.0,90.0,0
99,142,IRN,Iran,50.2,51.3,100.0,77.8,46.5,66.3,84.4,78.5,46.9,14.2,93.3,99.7,68.2,72.6,58.7,67.4,87.7,53.2,76.6,65.4,31.0,71.3,96.6,48.3,87.1,77.3,36.6,34.2,27.5,62.4,92.1,88.2,98.4,73.4,73.7,77.5,73.1,59.2,72.1,66.8,83.6,0
