location_id,ihme_loc_id,location_name,level
53543,PHL_53543,Nueva Vizcaya,4
53560,PHL_53560,Occidental Mindoro,4
53561,PHL_53561,Oriental Mindoro,4
53563,PHL_53563,Palawan,4
53551,PHL_53551,Pampanga,4
53542,PHL_53542,Pangasinan,4
53559,PHL_53559,Quezon,4
53546,PHL_53546,Quirino,4
53555,PHL_53555,Rizal,4
53562,PHL_53562,Romblon,4
53584,PHL_53584,Samar (Western Samar),4
53603,PHL_53603,Sarangani,4
53580,PHL_53580,Siquijor,4
53567,PHL_53567,Sorsogon,4
53600,PHL_53600,South Cotabato,4
53581,PHL_53581,Southern Leyte,4
53601,PHL_53601,Sultan Kudarat,4
53611,PHL_53611,Sulu,4
53607,PHL_53607,Surigao Del Norte,4
53606,PHL_53606,Surigao Del Sur,4
53550,PHL_53550,Tarlac,4
53609,PHL_53609,Tawi-Tawi,4
53549,PHL_53549,Zambales,4
53588,PHL_53588,Zamboanga Del Norte,4
53589,PHL_53589,Zamboanga Del Sur,4
53587,PHL_53587,Zamboanga Sibugay,4
17,LKA,Sri Lanka,3
186,SYC,Seychelles,3
18,THA,Thailand,3
19,TLS,Timor-Leste,3
20,VNM,Vietnam,3
166,S3,Sub-Saharan Africa,1
167,R18,Central Sub-Saharan Africa,2
168,AGO,Angola,3
169,CAF,Central African Republic,3
170,COG,Congo,3
171,COD,Democratic Republic of the Congo,3
172,GNQ,Equatorial Guinea,3
173,GAB,Gabon,3
174,R19,Eastern Sub-Saharan Africa,2
175,BDI,Burundi,3
176,COM,Comoros,3
177,DJI,Djibouti,3
178,ERI,Eritrea,3
179,ETH,Ethiopia,3
44861,ETH_44861,Addis Ababa,4
44853,ETH_44853,Afar,4
44854,ETH_44854,Amhara,4
44857,ETH_44857,Benishangul-Gumuz,4
44862,ETH_44862,Dire Dawa,4
44860,ETH_44860,Gambella,4
44859,ETH_44859,Harari,4
44855,ETH_44855,Oromia,4
44856,ETH_44856,Somali,4
44858,ETH_44858,"Southern Nations, Nationalities, and Peoples",4
44852,ETH_44852,Tigray,4
180,KEN,Kenya,3
35617,KEN_35617,Baringo,4
35618,KEN_35618,Bomet,4
35619,KEN_35619,Bungoma,4
35620,KEN_35620,Busia,4
35621,KEN_35621,Elgeyo-Marakwet,4
35622,KEN_35622,Embu,4
35623,KEN_35623,Garissa,4
35624,KEN_35624,HomaBay,4
35625,KEN_35625,Isiolo,4
35626,KEN_35626,Kajiado,4
35627,KEN_35627,Kakamega,4
35628,KEN_35628,Kericho,4
35629,KEN_35629,Kiambu,4
35630,KEN_35630,Kilifi,4
35631,KEN_35631,Kirinyaga,4
35632,KEN_35632,Kisii,4
35633,KEN_35633,Kisumu,4
35634,KEN_35634,Kitui,4
35635,KEN_35635,Kwale,4
35636,KEN_35636,Laikipia,4
35637,KEN_35637,Lamu,4
35638,KEN_35638,Machakos,4
35639,KEN_35639,Makueni,4
35640,KEN_35640,Mandera,4
35641,KEN_35641,Marsabit,4
35642,KEN_35642,Meru,4
35643,KEN_35643,Migori,4
35644,KEN_35644,Mombasa,4
35645,KEN_35645,Murang’a,4
35646,KEN_35646,Nairobi,4
35647,KEN_35647,Nakuru,4
35648,KEN_35648,Nandi,4
35649,KEN_35649,Narok,4
35650,KEN_35650,Nyamira,4
35651,KEN_35651,Nyandarua,4
35652,KEN_35652,Nyeri,4
35653,KEN_35653,Samburu,4
35654,KEN_35654,Siaya,4
35655,KEN_35655,TaitaTaveta,4
35656,KEN_35656,TanaRiver,4
35657,KEN_35657,TharakaNithi,4
35658,KEN_35658,TransNzoia,4
35659,KEN_35659,Turkana,4
35660,KEN_35660,UasinGishu,4
35661,KEN_35661,Vihiga,4
35662,KEN_35662,Wajir,4
35663,KEN_35663,WestPokot,4
181,MDG,Madagascar,3
182,MWI,Malawi,3
184,MOZ,Mozambique,3
185,RWA,Rwanda,3
187,SOM,Somalia,3
435,SSD,South Sudan,3
189,TZA,Tanzania,3
190,UGA,Uganda,3
191,ZMB,Zambia,3
192,R20,Southern Sub-Saharan Africa,2
193,BWA,Botswana,3
194,LSO,Lesotho,3
195,NAM,Namibia,3
196,ZAF,South Africa,3
482,ZAF_482,Eastern Cape,4
483,ZAF_483,Free State,4
484,ZAF_484,Gauteng,4
485,ZAF_485,KwaZulu-Natal,4
486,ZAF_486,Limpopo,4
487,ZAF_487,Mpumalanga,4
488,ZAF_488,North-West,4
489,ZAF_489,Northern Cape,4
490,ZAF_490,Western Cape,4
197,SWZ,Swaziland,3
198,ZWE,Zimbabwe,3
199,R21,Western Sub-Saharan Africa,2
200,BEN,Benin,3
201,BFA,Burkina Faso,3
202,CMR,Cameroon,3
203,CPV,Cape Verde,3
204,TCD,Chad,3
205,CIV,Cote d'Ivoire,3
206,GMB,The Gambia,3
207,GHA,Ghana,3
208,GIN,Guinea,3
209,GNB,Guinea-Bissau,3
210,LBR,Liberia,3
211,MLI,Mali,3
212,MRT,Mauritania,3
213,NER,Niger,3
214,NGA,Nigeria,3
25318,NGA_25318,Abia,4
25319,NGA_25319,Adamawa,4
25320,NGA_25320,Akwa Ibom,4
25321,NGA_25321,Anambra,4
25322,NGA_25322,Bauchi,4
25323,NGA_25323,Bayelsa,4
25324,NGA_25324,Benue,4
25325,NGA_25325,Borno,4
25326,NGA_25326,Cross River,4
25327,NGA_25327,Delta,4
25328,NGA_25328,Ebonyi,4
25329,NGA_25329,Edo,4
25330,NGA_25330,Ekiti,4
25331,NGA_25331,Enugu,4
25332,NGA_25332,FCT (Abuja),4
25333,NGA_25333,Gombe,4
25334,NGA_25334,Imo,4
25335,NGA_25335,Jigawa,4
